"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"фюрер";"0.001167";"0.001101971777175242";"0.0012358608418069693";"4.612373917013994";"4.355360653237911";"4.88453497155906";"1796.385273";"1696.2860940696162";"1902.3840751494624"
"дер";"0.001145";"0.0010806046208885753";"0.0012132281671233863";"4.525422566393336";"4.270910512417532";"4.7950830792001735";"1762.5202550000001";"1663.395224421581";"1867.545168988204"
"рихтер";"0.001144";"0.0010796335307034488";"0.0012121992649916835";"4.521470232274215";"4.267072439546113";"4.791016514199808";"1760.9809360000002";"1661.900406848902";"1865.9613603877335"
"кратер";"0.00114";"0.001075749296822945";"0.001208083529604869";"4.505660895797732";"4.251720649453554";"4.774749752805227";"1754.82366";"1655.9213318361992";"1859.6259307078374"
"лютер";"0.001138";"0.0010738072562319462";"0.0012060255855622089";"4.497756227559489";"4.244045056165031";"4.766616070350181";"1751.745022";"1652.9319118557032";"1856.4580983420337"
"лагер";"0.001127";"0.0010631269496274964";"0.001194705976681534";"4.454280552249161";"4.201832915969592";"4.721877193955986";"1734.812513";"1636.491512973648";"1839.0336093194421"
"дилер";"0.001109";"0.001045653476621204";"0.001176179587984895";"4.383138538104986";"4.132771912427286";"4.648654715806166";"1707.104771";"1609.594263979075";"1810.5155871973209"
"фишер";"0.001059";"0.000997138951303027";"0.001124694497461596";"4.185521832148945";"3.9410262987393048";"4.4451684359049075";"1630.138821";"1534.9149333808243";"1731.2636091380866"
"коллекционер";"0.001052";"0.0009903496991752574";"0.0011174838033715592";"4.1578554933150995";"3.914192905911407";"4.416669363630312";"1619.3635880000002";"1524.4641085847582";"1720.1640507221052"
"мюллер";"0.001043";"0.0009816216959046078";"0.001108211875790743";"4.122284486243013";"3.879696920793021";"4.380023607902635";"1605.5097170000001";"1511.028927318185";"1705.891596430331"
"диспетчер";"0.00097";"0.0009108728341194849";"0.0010329612984473113";"3.8337640955471923";"3.6000737804707166";"4.082608183584649";"1493.1394300000002";"1402.1238601439713";"1590.0569529646168"
"центнер";"0.000969";"0.0009099042504982646";"0.0010319298897517022";"3.8298117614280716";"3.596245614377346";"4.078531711806236";"1491.6001110000002";"1400.6329009727383";"1588.4692859627005"
"боксер";"0.000965";"0.0009060300787061798";"0.0010278040922764688";"3.8140024249515885";"3.580933593020154";"4.062225181676288";"1485.442835";"1394.669314723918";"1582.1183675189218"
